date,text,likes,retweets,link
2019-01-20,RT @odiodobem: 😍♀️ https://t.co/avsig6vYdk,0,204,https://twitter.com/jairbolsonaro/status/1087034896051306497
2019-01-20,Matéria via TV @portaldaband : Novos direcionamentos de gastos públicos e mais atos nos primeiros dias do governo Bolsonaro. https://t.co/mbj9T3NO8b,1640,291,https://twitter.com/jairbolsonaro/status/1086976259148693505
2019-01-20,FERROVIAS: com a palavra o Ministro da Infraestrutura @tarcisiogdf - Engenheiro (AMAN); Engenheiro Civil (IME); membro da Companhia de Engenharia na Missão de Paz no Haiti; ex-DNIT; ex-Programa de Parcerias e Investimentos: https://t.co/xOoc66vZqg,1835,342,https://twitter.com/jairbolsonaro/status/1086805678847651842
2019-01-19,🇧🇷👉🏻👉🏻👍🏻 https://t.co/OQOzbEPuTM,2149,270,https://twitter.com/jairbolsonaro/status/1086750551298187265
2019-01-18,"Assinamos hoje, Medida Provisória que foca o combate de fraudes no INSS, podendo poupar cerca de R$10 bilhões por ano aos cofres públicos. 👍🏻",1611,250,https://twitter.com/jairbolsonaro/status/1086409154317684737
2019-01-18,"Ligamos hoje para o Presidente da Colômbia, @IvanDuque, para prestar nossa solidariedade diante do atentado terrorista que matou e feriu dezenas de pessoas em Bogotá, além de reiterar o total apoio do Brasil no combate ao terrorismo. https://t.co/hyVcq1yFkE",1976,335,https://twitter.com/jairbolsonaro/status/1086393521488171008
2019-01-18,👉🏻👉🏻 https://t.co/XvCwONcIk2,1580,259,https://twitter.com/jairbolsonaro/status/1086391331797299201
2019-01-18,"RT @BolsonaroSP: Dia 22 estarei em Davos no Forum Mundial Econômico (WEF) a convite de Marisol Argueta, diretora do WEF para América Latina…",0,96,https://twitter.com/jairbolsonaro/status/1086243338011987970
2019-01-18,Ainda vamos bem mais a fundo! BNDES divulga interessante link identificando os países que usaram os recursos financeiros do Brasil e os motivos dos empréstimos. Tire suas conclusões: https://t.co/kJKJXjenhI https://t.co/HKaULyXHDG,1463,394,https://twitter.com/jairbolsonaro/status/1086196654703824896
2019-01-17,Estamos acompanhando atentamente a apuração dos fatos. Estendo a mão ao Presidente @IvanDuque e reafirmo o compromisso do Brasil em combater duramente o terrorismo e o crime organizado. Conte conosco!,543,79,https://twitter.com/jairbolsonaro/status/1086036752459067392
2019-01-17,"Repudio e condeno veementemente o atentado terrorista ocorrido hoje na Colômbia, que deixou pelo menos 9 mortos e dezenas de feridos. Toda solidariedade aos nossos irmãos colombianos neste momento difícil, em especial aos familiares das vítimas. Fuerza! 🇨🇴",1584,220,https://twitter.com/jairbolsonaro/status/1086036635135995904
2019-01-17,👍🏻 https://t.co/y9royWha3V,0,0,https://twitter.com/jairbolsonaro/status/1086022093215551490
2019-01-17,"Trabalhamos para ampliar a deficitária malha ferroviária que emperra o desenvolvimento de nossa logística de produção. Pretendemos possibilitar linhas de interseção com outros transportes e desenvolvimento de rodovias, pontos tão necessários alinhados à evolução econômica do 🇧🇷! https://t.co/RYN60APSYH",2339,354,https://twitter.com/jairbolsonaro/status/1086012749312864256
2019-01-17,"Entrevista a um dos canais mais importantes de imprensa italiana. Os temas abordados foram terrorismo, Davos e outros. Confira: https://t.co/GAndly1YMR",1331,212,https://twitter.com/jairbolsonaro/status/1085967905022447616
2019-01-17,👍🏻 https://t.co/qM11e1WmOU,1432,173,https://twitter.com/jairbolsonaro/status/1085963076703318016
2019-01-17,RT @CarlosBolsonaro: Estive esta semana em Brasília acompanhando o trabalho inicial dos ministros. Deixo aqui meu apoio e respeito aos senh…,0,565,https://twitter.com/jairbolsonaro/status/1085934871845978120
2019-01-17,"Para a infelicidade dos que torcem contra, medidas eficientes para segurança pública ainda serão tomadas e propostas. Os problemas são profundos, principalmente pelo abandono dos governos anteriores. Mal dá pra resolver tudo em 4 anos, quem dirá em 15 dias de governo.",515,77,https://twitter.com/jairbolsonaro/status/1085895905771905025
2019-01-17,"Muitas falácias sendo usadas a respeito da posse de armas. A pior delas conclui que a iniciativa não resolve o problema da segurança pública. Ignorando o principal propósito, que é “iniciar ” o processo de assegurar o direito inviolável à legítima defesa.",2221,364,https://twitter.com/jairbolsonaro/status/1085895519463981056
2019-01-16,🇧🇷🤝🇦🇷 https://t.co/CAY2AmJ2K9,46730,4817,https://twitter.com/jairbolsonaro/status/1085560219730673671
2019-01-16,"Hoje, às 10:30, receberei o Presidente da Argentina, @mauriciomacri . É a primeira visita oficial de um Chefe de Estado ao Brasil desde a minha posse. Uma grande oportunidade de reforçar os laços de amizade com essa nação irmã! 🇧🇷🇦🇷",25364,3037,https://twitter.com/jairbolsonaro/status/1085498743720427520
2019-01-15,"Após voltarmos de Davos, continuaremos conversando com os ministros, para que juntos, evoluamos nos anseios dos CACs, porte, monopólio e variações sobre o assunto, além de modificações pertinentes ao Congresso, como redução da idade mínima! O trabalho não pode parar! Boa noite!",31312,3872,https://twitter.com/jairbolsonaro/status/1085321365375340546
2019-01-15,@CanalDoOtario Não 👍🏻!,20522,3599,https://twitter.com/jairbolsonaro/status/1085319702161907714
2019-01-15,"RT @criticanac: O decreto sobre a posse armas serviu para mostrar que as armas da grande imprensa são a mentira e a desinformação.
https:/…",0,1851,https://twitter.com/jairbolsonaro/status/1085306091502780417
2019-01-15,"Além das inúmeras iniciativas tomadas nestes primeiros dias de Governo, aumentamos de 3 para 10 anos o prazo para a renovação da posse da arma de fogo e acabamos com a subjetividade para a compra, que sempre foi dificultada ou impossibilitada. Esse é apenas o primeiro passo! 🇧🇷",9349,1397,https://twitter.com/jairbolsonaro/status/1085257216070963200
2019-01-15,"Por muito tempo, coube ao Estado determinar quem tinha ou não direito de defender a si mesmo, à sua família e à sua propriedade. Hoje, respeitando a vontade popular manifestada no referendo de 2005, devolvemos aos cidadãos brasileiros a liberdade de decidir.",12317,2083,https://twitter.com/jairbolsonaro/status/1085257031924224000
2019-01-15,"Economia, empregabilidade, infraestrutura, desenvolvimento... NÚMEROS: https://t.co/HEsMTg5rDR",16239,2567,https://twitter.com/jairbolsonaro/status/1085098177668280320
2019-01-14,A bolsa de valores fecha hoje com mais um novo índice positivo histórico! Estamos no décimo quarto dia de governo e ainda temos muito a desfazer e mais ainda a fazer! Vamos juntos resgatar o Brasil aos olhos do brasileiro e do mundo! 🇧🇷🇧🇷🇧🇷👍🏻,0,0,https://twitter.com/jairbolsonaro/status/1084932149554434050
2019-01-14,@MajorVitorHugo,389,42,https://twitter.com/jairbolsonaro/status/1084920915182448640
2019-01-14,"Comunico que a Liderança do Governo na Câmara será exercida pelo Deputado Federal Major Vitor Hugo (PSL/GO), advogado e consultor legislativo concursado desde 2015.",1531,241,https://twitter.com/jairbolsonaro/status/1084920282815647744
2019-01-14,🌎 https://t.co/OmCz2pdedu,2040,320,https://twitter.com/jairbolsonaro/status/1084877822857003008
2019-01-14,"Un grande abbraccio, Salvini! 👍🏻 https://t.co/j97fHmFAe1",10604,1570,https://twitter.com/jairbolsonaro/status/1084852414543548417
2019-01-14,"Mostrarei nosso desejo de fazer comércio com o mundo todo, prezando pela liberdade econômica, acordos bilaterais e saúde fiscal. Com esses pilares, o Brasil caminhará na direção do pleno emprego e da prosperidade. Espero trazer boas experiências e avanços ao nosso país!",26064,3303,https://twitter.com/jairbolsonaro/status/1084818288754991104
2019-01-14,"Na próxima semana embarco rumo a Davos, Suíça, para participar do Fórum Econômico Mundial. Estou confiante e feliz com essa grande oportunidade de apresentar a líderes do mundo todo um Brasil diferente, livre das amarras ideológicas e corrupção generalizada.",34229,4453,https://twitter.com/jairbolsonaro/status/1084818047540621312
2019-01-13,"- Ministro da Itália fala sobre Battisti.
- Parabéns a todos no Brasil que estiveram envolvidos no caso, na pessoa dos Ministros da Justiça, Relações Exteriores e GSI.
- Jair Bolsonaro. https://t.co/WnBTWLaiEj",56787,10660,https://twitter.com/jairbolsonaro/status/1084585705857273856
2019-01-13,🇧🇷🇮🇹 https://t.co/96vsA5Gm0V,33760,5224,https://twitter.com/jairbolsonaro/status/1084538258418216960
2019-01-13,"A “RESISTÊNCIA”: PT, PSOL, MST... imagem via instagram @PauloMartins10 https://t.co/3n4iN61pc2",24515,4054,https://twitter.com/jairbolsonaro/status/1084521089504546816
2019-01-13,🇧🇷☝🏻👉🏻👉🏻 https://t.co/KFJMAgJWFH,30219,2994,https://twitter.com/jairbolsonaro/status/1084516787985760257
